Date,Start Time,End Time,Total Bets,Value
2024-07-22,01:35:45.169008,01:35:57.448468,1490,1.87
2024-07-22,01:36:04.130590,01:36:09.476902,1427,1.00
2024-07-22,01:36:16.266820,01:36:34.674877,1253,2.88
2024-07-22,01:36:38.922185,01:37:15.022410,1433,11.78
2024-07-22,01:37:22.487875,01:37:27.822643,1424,1.13
2024-07-22,01:37:34.691929,01:38:02.628547,1190,6.87
2024-07-22,01:38:09.572245,01:38:21.750197,1414,1.81
2024-07-22,01:38:28.517177,01:38:37.955085,1392,1.38
2024-07-22,01:38:42.478205,01:38:56.787800,1303,2149
2024-07-22,01:39:03.521772,01:39:19.840189,1415,2.38
2024-07-22,01:39:24.281254,01:39:42.945465,1331,2.50
2024-07-22,01:39:47.309307,01:39:54.850356,1329,1.07
2024-07-22,01:39:59.000871,01:40:12.872549,1131,1.64
2024-07-22,01:40:17.550564,01:40:25.166836,1202,1.21
2024-07-22,01:40:31.828238,01:40:37.238187,1097,
2024-07-22,01:40:44.137906,01:41:41.785402,1027,72.80
2024-07-22,01:41:46.207721,01:41:54.032796,1242,1.19
2024-07-22,01:42:00.605210,01:42:23.358920,1052,4.20
2024-07-22,01:42:29.871108,01:42:35.026230,1121,1.01
2024-07-22,01:42:41.581957,01:42:55.685276,1135,2.02
2024-07-22,01:43:00.015491,01:43:18.489428,1030,2.65
2024-07-22,01:43:22.726320,01:43:30.265999,1152,1.02
2024-07-22,01:43:34.511134,01:44:12.522564,1053,12.77
2024-07-22,01:44:17.130703,01:44:33.194716,1161,2.42
2024-07-22,01:44:40.339098,01:44:45.565565,,1.05
2024-07-22,01:44:52.234890,01:45:01.632222,1106,1.44
2024-07-22,01:45:05.901839,01:45:15.547855,,1.09
2024-07-22,01:45:22.442529,01:45:38.604932,1023,2.37
2024-07-22,01:45:43.018165,01:46:13.040805,1181,7.62
2024-07-22,01:46:20.140401,01:46:25.452030,1195,1.149
2024-07-22,01:46:32.089941,01:46:57.356828,1010,4.67
2024-07-22,01:47:02.134401,01:47:45.894279,1203,23.04
2024-07-22,01:47:50.191019,01:47:57.990571,1142,1.05
2024-07-22,01:48:02.450187,01:48:16.189923,1121,1.93
2024-07-22,01:48:22.746291,01:48:39.264440,,2.24
2024-07-22,01:48:43.969372,01:49:00.349443,1231,2.55
2024-07-22,01:49:07.499358,01:49:13.341784,1224,1.00
2024-07-22,01:49:17.690337,01:49:25.267877,1157,1.15
2024-07-22,01:49:32.231616,01:49:59.342157,1152,6.10
2024-07-22,01:50:06.019989,01:50:13.482363,,1.19
2024-07-22,01:50:17.913712,01:50:42.547731,1179,4.50
2024-07-22,01:50:48.889806,01:50:58.519235,1170,1.45
2024-07-22,01:51:03.097163,01:51:30.411152,1274,5.76
2024-07-22,01:51:37.285576,01:51:53.695042,1152,2.72
2024-07-22,01:52:00.632131,01:52:16.806079,1277,2.53
2024-07-22,01:52:23.673559,01:52:41.550718,,3.07
2024-07-22,01:52:48.164060,01:53:22.255211,,10.75
2024-07-22,01:53:28.674971,01:53:36.080457,1310,1.17
2024-07-22,01:53:40.514620,01:53:52.470685,1153,1.70
2024-07-22,01:53:59.258235,01:54:17.505324,1212,2.97
2024-07-22,01:54:24.319381,01:54:29.638304,1416,1.00
2024-07-22,01:54:36.169384,01:55:58.986129,1235,663.14
2024-07-22,01:56:06.084471,01:56:50.050018,1222,27.93
2024-07-22,01:56:56.751840,01:57:02.370787,1391,1.09
2024-07-22,01:57:09.051753,01:57:21.030750,1121,1.84
2024-07-22,01:57:28.122194,01:57:40.173354,1274,1.93
2024-07-22,01:57:46.891085,01:57:59.115825,1316,1.59
2024-07-22,01:58:03.747631,01:58:13.607319,1251,1.45
2024-07-22,01:58:20.239255,01:58:34.400694,1220,1.92
2024-07-22,01:58:38.783692,01:58:46.295926,1293,1.00
2024-07-22,01:58:51.011960,01:58:58.512402,1196,1.16
2024-07-22,01:59:05.137012,01:59:21.604997,1093,2.48
2024-07-22,01:59:26.423124,02:00:41.904682,1323,314.88
2024-07-22,02:00:46.201751,02:01:07.197869,1405,3.21
2024-07-22,02:01:11.746350,02:01:19.524528,1322,1.15
2024-07-22,02:01:26.238184,02:01:46.478515,1037,3.43
2024-07-22,02:01:50.717135,02:02:15.537271,1307,4.72
2024-07-22,02:02:22.560247,02:03:00.884013,1455,15.25
2024-07-22,02:03:05.471146,02:03:13.244422,1401,1.19
2024-07-22,02:03:20.051266,02:03:31.976733,1225,1.70
2024-07-22,02:03:38.654920,02:03:45.956918,1252,1.28
2024-07-22,02:03:53.036270,02:03:58.847242,1170,1.06
2024-07-22,02:04:03.360189,02:04:28.083630,1131,4.45
2024-07-22,02:04:35.165313,02:04:47.200915,1532,1.87
2024-07-22,02:04:53.889292,02:05:03.452758,1322,1.45
2024-07-22,02:05:07.705621,02:05:20.138080,1203,1
2024-07-22,02:05:27.009800,02:05:32.384665,1194,1.02
2024-07-22,02:05:39.659673,02:05:49.419588,1175,1.54
2024-07-22,02:05:56.137673,02:06:25.509454,1057,7.95
2024-07-22,02:06:31.979868,02:07:26.925473,1354,60.71
2024-07-22,02:07:31.149557,02:07:45.719859,1409,1.93
2024-07-22,02:07:52.525345,02:08:16.890279,1213,4.85
2024-07-22,02:08:21.132677,02:08:31.019378,1453,1.26
2024-07-22,02:08:37.260355,02:08:46.773791,1341,1.40
2024-07-22,02:08:53.405640,02:09:26.777455,1222,10.47
2024-07-22,02:09:31.082307,02:09:38.708711,1479,1.07
2024-07-22,02:09:43.600613,02:09:49.853114,1231,1.01
2024-07-22,02:09:57.203929,02:10:23.743791,1213,5.97
2024-07-22,02:10:30.300179,02:11:09.951454,1254,2.49
2024-07-22,02:11:15.116080,02:11:22.919702,1232,1.05
2024-07-22,02:11:27.881834,02:11:38.179715,,1.56
2024-07-22,02:11:45.266595,02:12:17.578525,1153,10.03
2024-07-22,02:12:24.849600,02:12:32.258830,1194,1.23
2024-07-22,02:12:36.751595,02:12:49.203744,1035,1.56
2024-07-22,02:12:53.471310,02:13:01.057211,1220,1.05
2024-07-22,02:13:05.440074,02:13:15.007010,1045,1.19
2024-07-22,02:13:19.221269,02:13:47.010305,,6.41
2024-07-22,02:13:53.567767,02:14:23.649876,1219,7.04
2024-07-22,02:14:28.197213,02:14:38.139713,1239,1.40
2024-07-22,02:14:45.420828,02:14:50.838190,1052,1.09
2024-07-22,02:14:57.756239,02:15:03.357780,1010,1.08
2024-07-22,02:15:10.337633,02:15:19.735964,,1.45
2024-07-22,02:15:24.116313,02:15:42.685222,1072,2.79
2024-07-22,02:15:49.236467,02:15:56.886467,1224,1.18
2024-07-22,02:16:01.533322,02:16:19.455136,,2.84
2024-07-22,02:16:25.906973,02:16:39.813565,1022,2.03
2024-07-22,02:16:46.239857,02:16:53.841344,,1.21
2024-07-22,02:17:00.597029,02:17:10.559833,933,1.59
2024-07-22,02:17:17.574956,02:17:57.110826,927,18.21
2024-07-22,02:18:04.155325,02:18:09.415900,,1.05
2024-07-22,02:18:16.246150,02:18:39.909677,,4.62
2024-07-22,02:18:44.287873,02:19:16.072825,,8.02
2024-07-22,02:19:20.306783,02:19:28.069467,1116,1.11
2024-07-22,02:19:35.004440,02:20:10.650671,1001,13.30
2024-07-22,02:20:17.464153,02:20:29.420366,,1.94
2024-07-22,02:20:36.581350,02:20:59.226644,1117,4.72
2024-07-22,02:21:05.736711,02:21:13.721117,1102,1.31
2024-07-22,02:21:20.262327,02:21:50.123019,1174,7.51
2024-07-22,02:21:56.495569,02:22:28.421928,,9.56
2024-07-22,02:22:34.916918,02:22:42.649430,1233,1.25
2024-07-22,02:22:49.351748,02:23:03.606137,1205,2.31
2024-07-22,02:23:11.016253,02:23:18.704742,1243,1.29
2024-07-22,02:23:25.578768,02:23:50.627730,1231,5.78
2024-07-22,02:23:57.491972,02:24:16.127133,1133,2.79
2024-07-22,02:24:20.601949,02:24:52.339150,,8.25
2024-07-22,02:24:56.565478,02:25:04.163050,1235,1.09
2024-07-22,02:25:11.630167,02:25:54.052434,1175,23.00
2024-07-22,02:25:58.543246,02:26:13.036023,1234,2.05
2024-07-22,02:26:20.082940,02:26:56.402308,1250,13.26
2024-07-22,02:27:00.776253,02:27:08.601365,1295,1.16
2024-07-22,02:27:15.557884,02:27:23.033171,1239,1.16
2024-07-22,02:27:27.441638,02:27:41.353214,1149,1.80
2024-07-22,02:27:48.353840,02:28:06.914727,1239,3.08
2024-07-22,02:28:11.305232,02:28:25.288693,1455,1.94
2024-07-22,02:28:32.272605,02:28:39.684973,1322,1.27
2024-07-22,02:28:46.471104,02:29:11.721327,1179,5.38
2024-07-22,02:29:18.915787,02:29:37.409687,1353,3.30
2024-07-22,02:29:43.635991,02:29:57.172062,1345,1.93
2024-07-22,02:30:03.967236,02:30:15.871076,1223,1.80
2024-07-22,02:30:20.213967,02:30:36.205326,1333,2.15
2024-07-22,02:30:42.542169,02:30:52.203186,1419,1.43
2024-07-22,02:30:58.801812,02:31:06.185093,1210,1.24
2024-07-22,02:31:12.842141,02:31:33.673358,,4.07
2024-07-22,02:31:40.359840,02:32:09.969575,1232,7.09
2024-07-22,02:32:14.484905,02:32:24.344209,1235,1.31
2024-07-22,02:32:31.316424,02:32:36.775663,,1.01
2024-07-22,02:32:41.583059,02:32:55.845026,1149,2.10
2024-07-22,02:33:02.890683,02:33:14.661813,1223,1.84
2024-07-22,02:33:21.479981,02:33:33.270178,1073,1.96
2024-07-22,02:33:39.966941,02:33:47.584906,1124,1.23
2024-07-22,02:33:54.343042,02:35:00.395104,955,156.28
2024-07-22,02:35:06.778336,02:35:23.450228,1101,2.84
2024-07-22,02:35:30.283887,02:35:48.792318,1132,3.00
2024-07-22,02:35:55.454248,02:36:26.380414,1155,9.45
2024-07-22,02:36:33.112674,02:36:45.010545,1239,1.76
2024-07-22,02:36:51.407749,02:37:21.295018,,7.67
2024-07-22,02:37:28.001793,02:38:32.087380,1355,5.34
2024-07-22,02:38:39.262305,02:38:51.135626,,1.96
2024-07-22,02:38:58.235519,02:39:14.746512,1219,2.45
2024-07-22,02:39:18.929813,02:39:28.395790,1395,1.22
2024-07-22,02:39:32.663826,02:39:49.315604,1293,2.39
