Date,Start Time,End Time,Total Bets,Value
2024-07-31,02:52:00.111324,02:52:24.977174,2572,5.70
2024-07-31,02:52:32.081326,02:53:09.190875,2530,15.34
2024-07-31,02:53:15.492107,02:53:47.306885,2750,7.54
2024-07-31,02:53:51.968979,02:54:24.679081,2339,9.57
2024-07-31,02:54:31.245359,02:54:56.987187,2925,5.28
2024-07-31,02:55:04.127265,02:55:16.037872,2935,1.64
2024-07-31,02:55:20.519530,02:56:03.002530,2496,19.90
2024-07-31,02:56:10.842644,02:56:30.225167,3206,3.43
2024-07-31,02:56:37.298654,02:56:42.624366,3157,1.14
2024-07-31,02:56:49.343785,02:56:57.103278,2753,1.15
2024-07-31,02:57:04.413845,02:57:16.639758,2514,1.95
2024-07-31,02:57:22.905387,02:57:47.404510,2397,4.56
2024-07-31,02:57:54.204183,02:58:06.421145,3331,1.67
2024-07-31,02:58:10.931587,02:58:29.898103,2943,2.90
2024-07-31,02:58:36.796077,02:58:53.028294,3003,2.38
2024-07-31,02:58:59.630379,02:59:07.465926,3155,1.17
2024-07-31,02:59:14.302997,03:00:16.446076,2753,120.60
2024-07-31,03:00:23.915898,03:00:33.675705,3153,1.47
2024-07-31,03:00:40.684594,03:00:48.017550,2399,1.19
2024-07-31,03:00:52.463617,03:01:00.033544,2594,1.12
2024-07-31,03:01:06.712509,03:01:12.520988,2434,1.00
2024-07-31,03:01:19.837438,03:01:36.568172,2494,2.73
2024-07-31,03:01:43.279723,03:01:50.680506,2950,1.22
2024-07-31,03:01:57.072431,03:02:15.398842,2572,2.74
2024-07-31,03:02:22.296165,03:02:29.764217,2513,1.30
2024-07-31,03:02:36.104106,03:02:54.633309,2666,2.67
2024-07-31,03:03:01.572390,03:03:26.576934,2354,5.57
2024-07-31,03:04:00.998756,03:04:27.170253,2943,6.00
2024-07-31,03:04:34.255294,03:04:59.536947,3021,5.36
2024-07-31,03:05:06.709732,03:05:14.334182,3075,1.14
2024-07-31,03:05:18.912859,03:05:26.385383,2575,1.00
2024-07-31,03:05:30.849562,03:05:45.171724,2475,1.76
2024-07-31,03:05:49.545460,03:05:57.248406,2542,1.06
2024-07-31,03:06:03.982908,03:06:16.180535,2450,1.76
2024-07-31,03:06:23.396815,03:06:52.303222,2541,7.91
2024-07-31,03:06:59.262555,03:07:12.061438,3168,1.78
2024-07-31,03:07:19.257359,03:07:45.743774,2933,5.85
2024-07-31,03:07:50.163206,03:08:15.598601,2913,4.86
2024-07-31,03:08:22.424647,03:08:30.228333,3203,1.27
2024-07-31,03:08:37.313441,03:09:18.615381,2330,19.24
2024-07-31,03:09:25.539470,03:09:44.002552,3250,3.11
2024-07-31,03:09:51.210148,03:10:14.486310,3070,4.91
2024-07-31,03:10:21.029489,03:10:32.639387,3335,1.66
2024-07-31,03:10:38.849330,03:11:05.702766,2956,5.15
2024-07-31,03:11:12.347844,03:11:20.215711,3400,1.17
2024-07-31,03:11:24.746157,03:11:39.196443,3160,1.75
2024-07-31,03:11:43.691858,03:11:51.353531,,1.05
2024-07-31,03:11:58.161243,03:12:40.968544,2532,23.88
2024-07-31,03:12:47.544780,03:13:01.411195,3355,2.00
2024-07-31,03:13:08.337218,03:13:40.465057,3157,9.86
